"Source:","/home/daveho/git/DIY8bit/HardwareDesign/F68.kicad_sch"
"Date:","Thu 12 Jan 2023 06:23:54 PM EST"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","175"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Field4","Field5","Field6","Field7","Field8","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","C001","22μF","device:CP","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","","","","","","","","","",""
"","","C101","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C102","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C103","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C104","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C105","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C106","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C107","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C108","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C109","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C110","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C111","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C113","22 pF","device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","","","","","","","","","","",""
"","","C114","22 pF","device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","","","","","","","","","","",""
"","","C200","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C201","0.1 uF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C301","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C302","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C303","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C304","1μF","device:CP","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","","","","","","","","","","",""
"","","C305","1μF","device:CP","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","","","","","","","","","","",""
"","","C306","1μF","device:CP","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","","","","","","","","","","",""
"","","C307","1μF","device:CP","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","","","","","","","","","","",""
"","","C308","1μF","device:CP","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","","","","","","","","","","",""
"","","C401","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C402","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C403","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C404","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C405","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C406","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C407","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C501","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C502","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C503","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C504","0.1 μF","device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"","","C505","30pF","device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","","","","","","","","","","",""
"","","C506","30pF","device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","","","","","","","","","","",""
"","","C701","100 nF","device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","","","","","","","","","","",""
"","","C702","100 nF","device:C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","","","","","","","","","","",""
